X,Y,SHAPE_area,Proj_nam,MAL,DevName,DevAddy,Park_type,User_Group,20171127_Respondent (First+ Last),20171127_Gensler Revised Parking Spots,20171127_Parking
-71.06936737,42.33773436,37383.60847,EAST CANTON STREET ASSOCIATES,79 E Canton St,"East Canton Street Associates c/o Mark S. Plonskier, Peabody & Brown","One Boston Place, Boston, MA 02108",,Residents,Carmen Schweizer,33,Surface Parking
-71.06938526,42.34679638,10498.12066,NEW GREEN APPLE,439-441 Tremont St,"Kevin Doherty, HJ Davis Development Corporation","40 Glen Avenue, Newton, MA 02159",,"tenants, employees, patrons, guests",Carmen Schweizer,23,Surface Parking
-71.07095459,42.34895983,19270.62609,FIRE DEPT LOT   ENG#22,194 Columbus Ave,,,,,Carmen Schweizer,22,Surface Parking
-71.07036722,42.34650383,7201.042598,APPLETON ST LOT,9 Appleton St,,,,,Carmen Schweizer,22,Below Grade
-71.07136784,42.3485482,10659.88374,COLUMBUS AVE LOT,0 Isabella St,,,,,Carmen Schweizer,93,Surface Parking
-71.05811469,42.3494725,17057.94448,BOSTON THERMAL CO LOT,153-173 Kneeland St,,,,,Carmen Schweizer,30,Surface Parking
-71.06358785,42.34417949,12431.75504,HO KONG BEAN LOT,370 Harrison Ave,,,,,Carmen Schweizer,14,Surface Parking
-71.05552619,42.35443349,38525.3049,150 FEDERAL ST GARAGE,150 Federal St,"Federal Development, Inc., c/o Meredith & Grew, Inc.","125 High Street, Boston, MA 02110",,"General public, employees",Carmen Schweizer,400,Below Grade
-71.06995004,42.3493153,12146.35121,GARDEN GARAGE,35 Lomasney Way,"ERP Operating Limited Partnership, An Affiliate of Equity Residential","1953 Gallows Road, Suite 340, Vienna, Virginia 22182",Self-park,Residents/general public,Carmen Schweizer,710,Stand-alone parking 
-71.06195866,42.34490065,6274.121825,F W WEBB LOT,237-241 Albany St,,,,,Carmen Schweizer,13,Surface Parking
-71.06835984,42.35000436,2009.623383,CHURCH ST LOT,0 Piedmont St,,,,,Carmen Schweizer,18,Surface Parking
-71.06315818,42.34755203,1175.717375,SCCHC PARKING LOT,18 Pine St,,,,,Carmen Schweizer,45,Surface Parking
-71.06322672,42.3440672,7752.776027,SOMERFIELD LOT,33-39 TRAVELER ST,,,,,Carmen Schweizer,37,Surface Parking
-71.06299115,42.35021927,53283.29991,Tufts Dental,1 Kneeland St,,,Self,General public,,,
-71.07252927,42.33641208,49646.92004,BUMC LOT,72 E Concord St,,,,,Carmen Schweizer,50,Surface Parking
-71.07473587,42.3536792,19156.86319,FIRST & SECOND CHURCH,64 Marlborough St,,,,,Carmen Schweizer,12,Surface Parking
-71.06266219,42.34519733,267864.639,Herald Lots,300 Harrison Ave,,,,,Carmen Schweizer,308,Stand-alone parking 
-71.06069188,42.3496621,1451.609496,YMCA PARKING LOT,55-57 Hudson St,,,,,Carmen Schweizer,29,Surface Parking
-71.08210914,42.3446376,53203.52408,GREENHOUSE APT GARAGE,150 Huntington Ave,,,,,Carmen Schweizer,200,Stand-alone parking 
-71.06914508,42.3490496,9283.642813,PINSTRIPE AUTO PARK,132 Arlington St,"Sunrise Auto Theatre, Inc","1150 Park Square Building, Boston, MA 02116",,General public,Carmen Schweizer,17,Surface Parking
-71.06206361,42.3476076,105361.748,,224-236 Harrison Ave,,,,,Carmen Schweizer,136,Below Grade
-71.06497931,42.34798113,81822.81896,QUINCY ST GARAGE,885 Washington St,,,,,Carmen Schweizer,30,Below Grade
-71.0647342,42.34978347,37046.8432,NEMC GARAGE,274-284 Tremont St,,,,,Carmen Schweizer,921,Stand-alone parking 
-71.06702493,42.3393885,5421.356273,,30-44 Wareham St,,,,,Carmen Schweizer,82,Surface Parking
-71.06747732,42.35132858,43116.82952,,1 Charles St S,,,,,Carmen Schweizer,511,Below Grade
-71.06645662,42.3482323,98917.77416,MASS PIKE TOWERS LOT,336 Tremont St,,,,,Carmen Schweizer,91,Surface Parking
-71.06571058,42.34619605,21931.0357,SOUTH COVE MANOR LOT,120 Shawmut Ave,,,,,Carmen Schweizer,21,Surface Parking
-71.06559992,42.34659046,16322.34896,110 SHAWMUT AVE LOT,100-112 Shawmut Ave,,,,,Carmen Schweizer,52,Below Grade
-71.05321083,42.35997369,81741.50853,MARKETPLACE CENTER GARAGE,200 State St,"Worldwide Parking Associates, Inc","200 State Street, 12th Floor, Boston, MA 02109",,General public,Carmen Schweizer,120,Below Grade
-71.0560633,42.36808791,4014.724902,CHARTER HOUSE CONDO TRUST,540-544 Commercial St,"Lavender Trust c/o Joseph P. Carpinteri, First Faneuil Corporation","295 Hanover Street, Boston, MA 02113",,Residents,Carmen Schweizer,6,Surface Parking
-71.05974884,42.36534482,67985.9583,"Simpson Parcel One, Bullfinch Triangle",95 Haverhill St,SHLP Bulfinch LLC,"33 Broad Street, Suite 1002, Boston, MA 02114",Self-park/valet/atte,,Carmen Schweizer,142,Surface Parking
-71.08145638,42.3475302,843888.4051,Prudential,800 Boylston St,,,"self, valet",,Nicholas Ficeto,3920,Below Grade
-71.07782972,42.33874968,83368.8019,JOHN J HURLEY SCHOOL,42-70 Worcester St,,,,,Nicholas Ficeto,40,Surface Parking
-71.08682484,42.35189072,4457.512186,NEW ENGLAND COLLEGE OF OPTOM,424 Beacon St,,,,,Nicholas Ficeto,30,Surface Parking
-71.08711529,42.34860818,6008.42414,DANKER & DONAHUE GARAGE,343-347 Newbury St,,,,,Nicholas Ficeto,250,Below Grade
-71.07320456,42.33716448,74788.90921,Harrison Commons,761 Harrison Ave,"Harrison Commons/Harrison Court, c/o R.F. Walsh Company, Inc","307 West First Street, South Boston, MA 02127",,,Nicholas Ficeto,230,Below Grade
-71.06984874,42.34908914,8330.858855,GENERAL TRADING CORPORATION,0 Arlington St,,,,,Nicholas Ficeto,84,Below Grade
-71.07512633,42.34793209,4945.889258,JOHN HANCOCK GARAGE,165 Dartmouth St,,,,,Nicholas Ficeto,2013,Stand-alone parking 
-71.06561801,42.34179421,18656.65256,MBTA LOT C,500-514 Harrison Ave,,,,,Nicholas Ficeto,185,Surface Parking
-71.0809036,42.34560498,38131.58638,COLONNADE HOTEL GARAGE,120-140 Huntington Ave,,,,,Nicholas Ficeto,180,Above Grade (building on top)
-71.06134531,42.36419782,5382.631965,155 Portland,155 Portland St,Tom Zazzara,"150-151 Portland Street, Boston, MA",,,Nicholas Ficeto,36,Surface Parking
-71.07167187,42.33805021,36257.0255,,725 Harrison Ave,"ArtBlock LLC, c/o New Atlantic Development","59 Temple Place, Suite 1000, Boston, MA 02111",,,Nicholas Ficeto,67,Surface Parking
-71.05077187,42.3601834,108366.0596,MARRIOTT LOT,296 State St,"Mr. Robert B. Swett, Vice President, Boston Properties","133 Federal Street, Boston, MA 02110",,,Nicholas Ficeto,200,Below Grade
-71.08566696,42.34706886,27388.61475,AUDITORIUM GARAGE,50 Dalton St,,,,,Nicholas Ficeto,490,Stand-alone parking 
-71.06925729,42.360667,4776.072437,CAMBRIDGE ST LOT,0 Lindall Pl,,,,,Nicholas Ficeto,21,Surface Parking
-71.06816577,42.35043602,3132.903623,,212 Stuart St,,,,,Nicholas Ficeto,18,Surface Parking
-71.06696287,42.34998622,9115.326623,90 BROADWAY REALTY TRUST,80-96 Broadway St,"90 Broadway Realty Trust, c/o Barbara S. Parker, Csapler & Bok","95 Broadway Street, Boston MA",,,Nicholas Ficeto,29,Below Grade
-71.0674408,42.35040405,68995.95989,57 HOTEL GARAGE,200 Stuart St,,,,,Nicholas Ficeto,745,Stand-alone parking attached to side of building
-71.07124359,42.35201361,18020.32203,ARLINGTON ST CHURCH,20 ARLINGTON ST,,,,,Nicholas Ficeto,12,Surface Parking
-71.07656226,42.35058485,5313.27794,ABBEY BOYLSTON TRUST,573-575 Boylston St,n/a,n/a,,n/a,Kevin Kusina,16,Below Grade
-71.05497895,42.36444763,25966.788,"44 PRINCE ST, LLC",44 Prince St,,,,,Kevin Kusina,35,Surface Parking
-71.05313335,42.3552638,105875.6905,125 High Street,125 High St,One Twenty Five High Street Limited Partnership,"126 High Street, Boston, Massachusetts 02109",,,Nicholas Ficeto,850,Below Grade
-71.06061449,42.35290788,7178.884519,100 CHAUNCY STREET,90-100 Chauncy St,,,,,Carmen Schweizer,38,Surface Parking
-71.05863009,42.35350491,18176.16279,99 SUMMER ST GARAGE,99 Summer St,"Trustees of Bedford-Kingston Realty Trust, c/o McCormack & Putziger","225 Franklin Street, Boston, MA 02110",,General public,Nicholas Ficeto,120,Below Grade
-71.06027589,42.36338154,8562.327694,,Merrimac St,,,,,Kevin Kusina,80,Surface Parking
-71.05397007,42.35694507,17791.49624,FRANKLIN ST GARAGE,260 Franklin St,Trustees of CC & F-F & O Property trust,"Sixty State Street, Boston MA 02109",,Employees and tenants,Nicholas Ficeto,83,Below Grade
-71.05359239,42.36241275,18411.32618,NORTH END COMMUNITY NURSING HM,70 Fulton St,Boston Redevelopment Authority,"1 City Hall Square, Boston, MA 02201",,,Carmen Schweizer,71,Surface Parking
-71.07434602,42.35042642,85627.58793,N E LIFE BLDG GARAGE,500 Boylston St,"New Engalnd Mutual Life Insurance Co, Gerald D. Hines, Interests, Inc., c/o","60 State Street, Boston, MA 02109",,"General public, tenants, employees",Nicholas Ficeto,1000,Above Grade (building on top)
-71.06946845,42.35104755,79822.4625,,,,,,,,,
-71.05042105,42.3671102,192880.9897,Battery Wharf,2-5 Battery Wharf,"Battery Wharf LLC, c/o Raymond Property Company LLC","306 Dartmouth Street, Boston, MA 02116",,,Nicholas Ficeto,376,Below Grade
-71.0505035,42.35525844,21507.88407,JAMES HOOK & CO LOT,408 Atlantic Ave,,,,,Nicholas Ficeto,43,Surface Parking
-71.07735399,42.34842196,54456.47088,WESTIN HOTEL GARAGE,10 Huntington Ave,"Urban Investment & Development Company, John Hancock Tower","200 Clarendon Street, Boston, MA 02116",,"General public, hotel guests and employees, residents",Nicholas Ficeto,260,Below Grade
-71.04975742,42.36197245,85257.52792,COMMERCIAL WHARF,84 Atlantic Ave,"Waterfront Park Limited Partnership, c/o Wayne and Lazares","95 Commercial Wharf, Boston, MA 02110",,"Owners, employees, guests",Nicholas Ficeto,225,Surface Parking
-71.05009364,42.36391749,17490.18893,"Lewis Wharf, Pilot House Extension",2 Atlantic Ave,"Pilot House Associates, Inc.
c/o Continental Cablevision","The Pilot House, Lewis Wharf, Boston, MA 02110",Self,,Nicholas Ficeto,120,Surface Parking
-71.05143147,42.36469819,11753.75869,COMMERCIAL @ CLARK LOT,280-292 Commercial St,"Commercial-Clark Trust, c/o The Abby Group","575 Boylston Street, Boston MA 02116",,"Residents of North End, Waterfront",Nicholas Ficeto,74,Surface Parking
-71.07043393,42.35051477,34749.37399,GREYHOUND BUS,10 Saint James Ave,Greyhound Associates Limited Partnership,75 Arlington Street,,"employe, tenant, general public",Nicholas Ficeto,400,Below Grade
-71.05480478,42.35538745,72717.65065,185 Franklin,185 Franklin St,"185 Franklin Street Investment, LLC, c/o CV 185 Franklin I LLC","10 Channel Center Street, Suite 500, Boston, MA 02110",Valet/parking assist,,Nicholas Ficeto,110,Below Grade
-71.05861524,42.36527121,2170.541837,Merano,86-88 N Washington St,"First General Realty Corp., c/o Boston Development Group","93 Union Street, Suite 315, Newton, MA 02459",Valet/parking assist,"Employee, visitors, patrons, guests",Nicholas Ficeto,192,Surface Parking
-71.05912857,42.35504237,32062.22697,101 ARCH STREET,101-93 Arch St,,,,,Nicholas Ficeto,227,Below Grade
-71.05091172,42.35841681,56305.6746,AQUARIUM,70 E India Row,"70 East India Row, a.k.a. Aquarium Garage/Harbor Garage, c/o David G. Higgi","33 Arch Street, 26th Floor, Boston, MA 02110",,,Nicholas Ficeto,1475,Stand-alone parking 
-71.05436999,42.3580845,2294.420481,BROAD & WATER ST LOT,47-49 Broad St,,,,,Nicholas Ficeto,24,Surface Parking
-71.05199278,42.3683667,494192.5066,U S COAST GUARD LOT,466-490 Hanover St,,,,,Nicholas Ficeto,550,Surface Parking
-71.04939916,42.36017576,1006.86793,CHART HOUSE REST LOT,60 Long Wharf Row,,,,,Nicholas Ficeto,70,Surface Parking
-71.07338416,42.35068357,59008.27971,E BERKELEY ST LOT,222 Berkeley St,,,,,Nicholas Ficeto,1270,Below Grade
-71.0609835,42.35401223,161267.8585,LAFAYETTE PLACE GARAGE,1 Avenue De Lafayette,"City of Boston, Real Property Department, Room 811","1 City Hall Square, Boston, MA 02201",,General public,Nicholas Ficeto,1267,Below Grade
-71.07328075,42.33499121,410058.3216,,725 Albany St,Boston Medical Center,"715 Albany Street, Boston, MA 02118",,,Carmen Schweizer,2475,Below Grade
-71.06898431,42.36187049,53829.73383,PARKMAN ST GARAGE,32 Fruit St,,,,,,,
-71.05564453,42.35627524,67117.20497,Post Office Square,1P Post Office Sq,Post Office Square Redevelopment Corporation,"50 Federal Street, 3rd Floor, Boston, Massachusetts 02110",,,Nicholas Ficeto,1800,Below grade (no structure on top)
-71.07153032,42.35020902,54874.87578,LIBERTY MUTUAL CO LOT,30 Saint James Ave,,,,,Kevin Kusina,30,Below Grade
-71.04972725,42.35667246,241883.6957,ROWES WHARF,350 Atlantic Ave,Rowes Wharf Limited Partnership Affiliate of the Beacon Companies,"One Post Office Square, Boston, MA 02109",,,Nicholas Ficeto,955,Below Grade
-71.05646101,42.34918617,794421.5102,South Station,630 Atlantic Ave,,,Self,,,744,Stand-alone parking attached to side of building
-71.05205903,42.36551063,17403.76938,RESIDENTIAL GARAGE,350 North St,,,,,Nicholas Ficeto,55,Below Grade
-71.05907739,42.36407393,31118.74094,CANAL ST LOT,89 Canal St,,,,,Kevin Kusina,115,Below Grade
-71.0629367,42.3485327,35363.0713,The Metropolitan,1 Nassau St,,,Valet,"Residents, employee",Nicholas Ficeto,283,Below Grade
-71.07370181,42.35154843,45275.51731,LOUIS BOSTON,463 Boylston St,,,,,,35,Surface Parking
-71.05737021,42.35926751,36390.97859,28 STATE ST LLC,28 State St,"State Street Limited Partnership, Ms. Katherine Bachman Esq., Hale and Dorr","60 State Street, Boston, MA 02109",Valet,Employees and residents,Carmen Schweizer,150,Below Grade
-71.07372402,42.34870244,45561.68925,The Clarendon,137-141 Clarendon St,"The Clarendon, c/o The Beal Company","177 Milk Street, Boston, MA 02109",,"General public, residents",Nicholas Ficeto,393,Below Grade
-71.0514724,42.36260314,22568.46555,COMMERCIAL WHARF WEST LOT,79-85 Atlantic Ave,,,,,Nicholas Ficeto,40,Surface Parking
-71.0663097,42.35214937,3169.963688,HERITAGE ON THE GARDEN GARAGE,144 Boylston St,,,,,,,
-71.05313748,42.36276022,20266.56696,FULTON COURT CONDO TRUST,102-104 Fulton St,,,,,Carmen Schweizer,139,Below Grade
-71.06227838,42.35958545,60680.12023,STATE HOUSE GARAGE,1 Ashburton Pl,,,,,Carmen Schweizer,532,Below Grade
-71.06213104,42.36047982,116031.2916,SALTONSTALL BUILDING,100 Cambridge St,"Commonwealth of Massachusetts, Division of Capital Asset Management","One Ashburton Place, Boston, MA","""stacked assisted""",,Carmen Schweizer,466,Below Grade
-71.06648218,42.35219312,3999.966201,PIANO ROW HOTEL,150 Boylston St,,,,,,,
-71.05135621,42.36442859,4614.828332,,0 Commercial St,,,,,Carmen Schweizer,45,Surface Parking
-71.0837573,42.34468625,357350.1677,CHRISTIAN SCIENCE GARAGE,0 Dalton St,"Barbara Laakso, Rackemann, Sawyer & Brewster","One Financial Center, Boston, MA 02110",,Employees,Carmen Schweizer,510,Below Grade
-71.05187304,42.36651375,6313.813781,Burroughs Wharf,380 Commercial St,Burroughs Wharf Associates,"120 Fulton Street, Boston, MA 02109",valet,,Carmen Schweizer,108,Surface Parking
-71.06114134,42.35671223,42880.61218,Suffolk Law School,120 Tremont St,"Suffolk University, c/o Foley, Hoag and Elliot, Douglas McGarrah","One Post Office Square, Boston, MA 02109",,,Carmen Schweizer,72,Below Grade
-71.0573386,42.35384023,61422.85565,100 Summer Street,100 Summer St,"EOP-lOO Summer Street, L.L.C.","Two North Riverside Plaza, Chicago, IL 60606",Valet,,Carmen Schweizer,102,Below Grade
-71.0601182,42.35171999,5141.473239,PING ON ST LOT,0 Ping On St,"Bradford Auto Parks, Inc","130 Essex Street, Boston, MA 02111",,General public,Carmen Schweizer,22,Surface Parking
-71.06008609,42.36703034,45850.2329,CHARDON-REALTY PARKING LOT,151 Beverly St,,,,,Carmen Schweizer,100,Below Grade
-71.06921238,42.33940558,13955.44551,POLICE HEADQUARTERS LOT,ALLEY 559,,,,,Carmen Schweizer,15,Surface Parking
-71.06310916,42.36516031,102872.6798,TIP O'NEIL FEDERAL BLDG,,,,,,Carmen Schweizer,0,Below Grade
-71.06233632,42.36616871,136694.9667,Fleet Center/North Station,,Massachusetts Bay Transportation Authority,"Ten Park Plaza, Boston, MA 02116",Self,,Carmen Schweizer,1300,Stand-alone parking 
-71.06170561,42.36567891,89342.13167,Causeway Strreet lots,,,,,,Carmen Schweizer,293,Surface Parking
-71.06331551,42.35285857,93004.09788,,,,,"valet, shuttle, limousene",,Kevin Kusina,1413,Below Grade
-71.06393761,42.35141894,18886.87175,45 Staurt Street LLC,41-47 STUART,"45 Stuart Street LLC, c/o Rio Sacchetti","33 Broad Street, 10th Floor, Boston, MA 02100",,General public,Carmen Schweizer,0,Below Grade
-71.06403662,42.35179676,7710.365692,LAGRANGE ST LOT,47-55 LA GRANGE ST,,,,,Carmen Schweizer,0,Below Grade
-71.06363632,42.35216653,2403.854388,30 BOYLSTON ST LOT,30-34 BOYLSTON,Albert Puglio,"147 Lexington Street, East Boston, MA 02128",,General public,Carmen Schweizer,6,Surface Parking
-71.05682859,42.35176011,18716.4733,60 South Street,60 South St,"60 South Street, Limited Partnership, c/o Lincoln Property Company","225 Franklin Street, 23'"" Floor, Boston, MA 02110",valet,"General public, employees, guests, and visitors",Carmen Schweizer,210,Below Grade
-71.05711196,42.35031089,19462.36803,745 ATLANTIC AVE GARAGE,745 Atlantic Ave,,,,,Carmen Schweizer,150,Below Grade
-71.0570505,42.35456685,46675.85543,WINTHROP SQ PARKING GARAGE,115 Federal St,"Winthrop Square Parking Garage, William Crowley, General Manager","240 Devonshire Street, Boston, MA 02111",,General public,Carmen Schweizer,1125,Stand-alone parking 
-71.05582936,42.35504924,81773.40371,FIRST NATIONAL BANK OF BOSTON,100 Federal St,,,,,Carmen Schweizer,205,Below Grade
-71.06150532,42.35209681,1791.341627,ESSEX @ HARRISON LOT,33-37 ESSEX ST,"Simon B. Gottlieb, Trustee, Stanhope Realty Trust","25 Hungtington Avenue, Boston, MA 02116",,General public,Carmen Schweizer,49,Surface Parking
-71.05969833,42.35558195,66216.2528,One Franklin/Filene's,1 Franklin St.,"426 Washington Street Owner LLC, c/o Gale International LLC","One Post Office Square, Boston, MA 02109",Valet/self-park,"Residential, employees",Carmen Schweizer,299,Below Grade
-71.05533774,42.34862045,670310.7681,US POSTAL ANNEX,25 Dorchester Avenue,,,,,Carmen Schweizer,140,Surface Parking
-71.06390758,42.36691008,138013.3849,MASS GENERAL HOSPITAL LOT,99 Nashua St,Massachusetts General Hospital C/o Partners HealthCare,"55 Fruit St - RSL 160, Boston, MA 02114",,,Carmen Schweizer,480,Surface Parking
-71.06522361,42.36668994,61644.29703,SPAULDING REH HOSPITAL LOT,100 Nashua St,"Michael Neville, Massachusetts General Hospital","55 Fruit Street, Boston, MA 02114",,"Employees, guests, visitors",Carmen Schweizer,102,Surface Parking
-71.06121791,42.34776897,203607.3904,Parcel 24,99 Kneeland St,,,,"Residents, General",Carmen Schweizer,135,Below Grade
